Text;tag
"Hepatitis B penularannya melalui darah dan cairan tubuh yang terinfeksi, hal ini dapat terjadi pada keadaan;Kontak langsung darah dengan darah yang telah terkontaminasi virus penyebab hepatitis.Hubungan seksual yang tidak aman, yakni kontak seksual tanpa kontrasepsi kondom sehingga terdapat pertukaran cairan tubuh.Penggunaan jarum suntik yang tidak steril, dan bahkan tertusuk jarum suntik yang terinfeksi secara tidak sengaja sekalipun.Menggunakan jarum yang terkontaminasi masuk ke tubuh, contohnya seperti jarum yang digunakan untuk membuat tato, akupuntur, tindik dan lainnya.Pada saat kehamilan – penularan dari ibu-janin pada proses melahirkanPenggunaan pisau cukur bersamaTranfusi darah";Penyebab
Hepatitis C. Virus hepatitis C menyebar melalui kontak darah-ke-darah dari darah orang yang terinfeksi. ;Penyakit
Hepatitis C. Virus hepatitis C menyebar melalui kontak darah-ke-darah dari darah orang yang terinfeksi. ;Penyebab
Hepatitis C dapat berkembang menjadi hepatitis kronis yang berisiko terkena sirosis dan jika tidak segera ditangani akan berakibat kanker hati.;Penyakit
Hepatitis D. Seseorang akan terinfeksi hepatitis D hanya jika sebelumnya sudah pernah terinfeksi hepatitis B.;Penyebab
Hepatitis D. Seseorang akan terinfeksi hepatitis D hanya jika sebelumnya sudah pernah terinfeksi hepatitis B.;Penyakit
Hepatitis E. Seseorang akan terinfeksi hepatitis E jika minum air yang terkontaminasi virus hepatitis E. ;Penyebab
Hepatitis E. Seseorang akan terinfeksi hepatitis E jika minum air yang terkontaminasi virus hepatitis E. ;Penyakit
Gejala dapat bermacam-macam tergantung jenis gangguan hati yang dialami. Gejala hepatitis pada umumnya adalah: Perut begah Mata kuning Mual/muntah badan lemas/cepat Lelah nyeri di daerah ulu hati Perubahan pada buang air besar (BAB) atau buang air kecil (BAK) ;Gejala
Berikut beberapa bacaan yang dapat menambah pengetahuan Anda.;Referensi
Mengenal Penyakit Liver yang Renggut Jiwa Faldy Albar;Artikel
Waspada, Obesitas Bisa Picu Penyakit Liver;Artikel
Sakit Hati karena Kebanyakan Makan & Minum Bir;Artikel
Kenali Jenis Makanan yang Buruk untuk Hati Anda;Artikel
Demikianlah jawaban yang dapat kami berikan seputar penyakit liver. Semoga bermanfaat. Salam sehat.;Penutup
Haloo dok saya mau anya jika hasil hbsag reaktif dan nilai rujukannya non reaktif itu berarti apa ya dok.terimakasih;Pasien
Haloo dok saya mau anya jika hasil hbsag reaktif dan nilai rujukannya non reaktif itu berarti apa ya dok.terimakasih;Pertanyaan
 Terima kasih telah bertanya di fitur Tanya dokter Klikdokter.com;Pembuka
Kami mengerti kekhawatiran Anda;Pembuka
HBsAg merupakan bagian dari permukaan virus.;Objek
Bila HBsAg negatif dan antibodi muncul (anti-HBs), maka dianggap sembuh. ;Outcome
Bila HBsAg negatif dan antibodi muncul (anti-HBs), maka dianggap sembuh. ;Prakondisi
Dalam masa penyembuhan hepatitis B akut, saat kadar HBeAg (antigen HBe virus) menurun dan menjadi tak terdeteksi, anti-HBe muncul pada darah. ;Outcome
Dalam masa penyembuhan hepatitis B akut, saat kadar HBeAg (antigen HBe virus) menurun dan menjadi tak terdeteksi, anti-HBe muncul pada darah. ;Prakondisi
Anti-HBe merupakan antibodi tubuh untuk melawan antigen HBe virus, umumnya tetap terdeteksi selama beberapa tahun setelah fase penyembuhan infeksi akut.;Objek
Pada karier HBV dan pasien hepatitis B kronik, HBeAg positif umumnya menandakan adanya replikasi aktif virus dan potensi penularan yang tinggi. ;Pasien
Sementara HBeAg negatif menandakan replikasi virus yang sangat minimal atau awal infeksi akut sebelum puncak replikasi virus. ;Outcome
Sementara HBeAg negatif menandakan replikasi virus yang sangat minimal atau awal infeksi akut sebelum puncak replikasi virus. ;Prakondisi
Anti-HBe positif umumnya menandakan hepatitis B kronik, penyembuhan dari infeksi akut, menandakan virus inaktif dan potensi penularan virus sangat rendah. ;Outcome
Anti-HBe positif umumnya menandakan hepatitis B kronik, penyembuhan dari infeksi akut, menandakan virus inaktif dan potensi penularan virus sangat rendah. ;Prakondisi
Sementara anti-HBe positif disertai terdeteksinya HBV DNA dalam darah menandakan replikasi aktif virus di dalam tubuh pasien. ;Outcome
Sementara anti-HBe positif disertai terdeteksinya HBV DNA dalam darah menandakan replikasi aktif virus di dalam tubuh pasien. ;Prakondisi
Sebagai rangkuman, apabila hasil yang didapat seperti ini :HBeAg reaktif/positif dan anti HBe non reaktif/negatif artinya Hepatitis B masih infeksius HBeAg non reaktif/negatif dan anti HBe reaktif/positif artinya menderita Hepatitis B tapi potensi penularan virus sangat rendah, disebut dengan Hepatitis B carrier;Referensi
"Virus hepatitis B menular melalui darah dan cairan tubuh yang terinfeksi, hal ini dapat terjadi pada keadaan; Kontak langsung darah dengan darahHubungan seksual yang tidak aman Penggunaan jarum suntik tidak steril Tertusuk jarum suntik yang terinfeksi jarum yang terkontaminasi yang digunakan untuk membuat tatto, akupuntur, body piercing Pada saat kehamilan, penularan dari ibu-janin pada proses melahirkan Penggunaan pisau cukur bersama Tranfusi darah Virus juga dapat ditemukan di cairan tubuh penderita (air liur, air seni), meski cara penularan yang terakhir ini jarang terjadi.";Penyebab
"Virus hepatitis B menular melalui darah dan cairan tubuh yang terinfeksi, hal ini dapat terjadi pada keadaan; Kontak langsung darah dengan darahHubungan seksual yang tidak aman Penggunaan jarum suntik tidak steril Tertusuk jarum suntik yang terinfeksi jarum yang terkontaminasi yang digunakan untuk membuat tatto, akupuntur, body piercing Pada saat kehamilan, penularan dari ibu-janin pada proses melahirkan Penggunaan pisau cukur bersama Tranfusi darah Virus juga dapat ditemukan di cairan tubuh penderita (air liur, air seni), meski cara penularan yang terakhir ini jarang terjadi.";Objek
Namun untuk mengetahui status penyakit dan kesembuhan Anda yang lebih tepat, sebaiknya Anda berdiskusi langsung dengan dokter spesialis penyakit dalam yang menangani.;Tindakan
Demikian penjelasan yang dapat kami sampaikan seputar HbsAg Reaktif. Semoga bermanfaat.;Penutup
Maaf dok mau tanya Bapak saya penderita Hepatitis B sering mengeluh sakit di perut bagian kanan bagaimana cara mengatasinya dok Terima kasih;Pertanyaan
Maaf dok mau tanya Bapak saya penderita Hepatitis B sering mengeluh sakit di perut bagian kanan bagaimana cara mengatasinya dok Terima kasih;Gejala
Maaf dok mau tanya Bapak saya penderita Hepatitis B sering mengeluh sakit di perut bagian kanan bagaimana cara mengatasinya dok Terima kasih;Penutup
Terima kasih telah bertanya di Fitur Tanya Dokter Klikdokter.com;Pembuka
Kami mengerti kekhawatiran Anda. ;Pembuka
Nyeri perut yang dialami Bapak Anda kemungkinan disebabkan oleh penyakit hepatitis yang diderita. ;Penyakit
Nyeri perut yang dialami Bapak Anda kemungkinan disebabkan oleh penyakit hepatitis yang diderita. ;Gejala
Gejala hepatitis B yang umumnya muncul adalah nyeri perut, terutama di bagian kanan atas. ;Gejala
Selain itu, penderita akan merasa mual, muntah, tidak nafsu makan, lemas dan mudah lelah, demam, nyeri sendi, kuning pada kulit dan sklera mata, serta air seni berwarna gelap. ;Gejala
Virus ini dapat ditularkan melalui cairan tubuh, seperti darah, mani, cairan vagina, dan air liur.;Penyebab
Untuk kasus hepatitis B yang kronis akan terus berlangsung hingga lebih dari enam bulan, bahkan seumur hidup. ;Periode
Untuk kasus hepatitis B yang kronis akan terus berlangsung hingga lebih dari enam bulan, bahkan seumur hidup. ;Penyakit
Penyakit hepatitis B yang kronis tersebut dapat meningkatkan risiko terjadinya pengerasan hati (sirosis), bahkan kanker hati.;Penyakit
Sebaiknya Bapak Anda berkonsultasi ke dokter spesialis penyakit dalam sehingga dapat dilakukan pemeriksaan dan penanganan dengan tepat. ;Tindakan
Demikian informasi ini kami sampaikan, semoga bermanfaat. Salam;Penutup
halo dok, hari ini saya melakukan tes darah dan menunjukan hasil positif HBsAg re-aktif, tetapi saya ingin melakukan tes ulang, kapan sebaiknya tes ulang tersebut saya lakukan, terimaksih :);Pasien
halo dok, hari ini saya melakukan tes darah dan menunjukan hasil positif HBsAg re-aktif, tetapi saya ingin melakukan tes ulang, kapan sebaiknya tes ulang tersebut saya lakukan, terimaksih :);Penyakit
Terima kasih telah menggunakan layanan e-konsultasi KlikDokter.;Pembuka
Kami mengerti kekhawatiran yang Anda rasakan saat ini;Pembuka
Jika HbsAg dinyatakan reaktif, maka saat ini Anda sedang terinfeksi oleh hepatitis B. ;Penyebab
Jika HbsAg dinyatakan reaktif, maka saat ini Anda sedang terinfeksi oleh hepatitis B. ;Penyakit
Namun untuk mengetahui virus sedang aktif atau tidak ada beberapa pemeriksaan lain seperti HbeAg ataupun HBV DNA serta pemeriksaan enzim hati seperti SGOT dan SGPT.;Tindakan
Untuk mengetahui status penyakit hepatitis B pada Anda maka sebaiknya Anda memeriksakan diri ke dokter spesialis penyakit dalam untuk evaluasi dan penanganan lebih lanjut. ;Tindakan
Sekilas izinkan kami menjelaskan mengenai penyakit Hepatitis B.;Referensi
Hepatitis (radang pada hati) B adalah penyakit yang disebabkan oleh virus hepatitis B (VHB), yang dapat menyebabkan peradangan hati akut atau menahun yang pada sebagian kecil kasus dapat berlanjut menjadi sirosi hati atau kanker hati. ;Penyakit
Hepatitis (radang pada hati) B adalah penyakit yang disebabkan oleh virus hepatitis B (VHB), yang dapat menyebabkan peradangan hati akut atau menahun yang pada sebagian kecil kasus dapat berlanjut menjadi sirosi hati atau kanker hati. ;Penyebab
"Virus hepatitis B menular melalui darah dan cairan tubuh yang terinfeksi, hal ini dapat terjadi pada keadaan; Kontak langsung darah dengan darah Hubungan seksual yang tidak aman Penggunaan jarum suntik tidak steril Tertusuk jarum suntik yang terinfeksiJarum yang terkontaminasi yang digunakan untuk membuat tatto, akupuntur, body piercing Pada saat kehamilan, penularan dari ibu-janin pada proses melahirkan Penggunaan pisau cukur Bersama Tranfusi darah";Objek
"Virus hepatitis B menular melalui darah dan cairan tubuh yang terinfeksi, hal ini dapat terjadi pada keadaan; Kontak langsung darah dengan darah Hubungan seksual yang tidak aman Penggunaan jarum suntik tidak steril Tertusuk jarum suntik yang terinfeksiJarum yang terkontaminasi yang digunakan untuk membuat tatto, akupuntur, body piercing Pada saat kehamilan, penularan dari ibu-janin pada proses melahirkan Penggunaan pisau cukur Bersama Tranfusi darah";Penyebab
Kebanyakan hepatitis B carriers tidak merasa ataupun terlihat sakit, tetapi mereka dapat mentransmisikan virus tersebut dan membuat orang lain menderita hepatitis B;Penyakit
Bagaimanapun, carriers memiliki risiko lebih tinggi untuk menderita kerusakan hati yang progresif akibat reaktivasi spontan hepatitis B berulang, sehingga memerlukan pengawasan dokter secara rutin.;Penyebab
Bagaimanapun, carriers memiliki risiko lebih tinggi untuk menderita kerusakan hati yang progresif akibat reaktivasi spontan hepatitis B berulang, sehingga memerlukan pengawasan dokter secara rutin.;Outcome
Pada 5-10% orang dewasa yang terinfeksi hepatitis B akan 'membawa' atau menyimpan virus tersebut selama hidupnya, yang kemudian disebut hepatitis Bcarriers. Hepatitis B memiliki 4 fase untuk menjadi Hepatitis B kronik yaitu: Fase toleransi imunitas (immune tolerance phase) Fase pembersihan imunitas (immune clearance phase)Fase kontrol imunitas (immune control phase)Fase penurunan imunitas (immune escape phase)Selama fase satu dan tiga, umumnya pasien tidak memiliki keluhan dan disebut dengan 'inactive carriers'. ;Informasi
Pada 5-10% orang dewasa yang terinfeksi hepatitis B akan 'membawa' atau menyimpan virus tersebut selama hidupnya, yang kemudian disebut hepatitis Bcarriers. Hepatitis B memiliki 4 fase untuk menjadi Hepatitis B kronik yaitu: Fase toleransi imunitas (immune tolerance phase) Fase pembersihan imunitas (immune clearance phase)Fase kontrol imunitas (immune control phase)Fase penurunan imunitas (immune escape phase)Selama fase satu dan tiga, umumnya pasien tidak memiliki keluhan dan disebut dengan 'inactive carriers'. ;Penyakit
Bagaimanapun juga, orang tersebut umumnya tidak dapat bertahan selamanya di dalam fase ini, mereka akan berpindah fase dan selalu memiliki risiko untuk terjadinya kerusakan hati progresif dan pembentukan sirosis hati (pengecilan hati).;Penyakit
Pasien pada fase 1 dan 3 umumnya tidak diberikan terapi karena berdasarkan penelitian, pemberian antivirus tidak ada bedanya dengan plasebo.;Tindakan
Pasien pada fase 1 dan 3 umumnya tidak diberikan terapi karena berdasarkan penelitian, pemberian antivirus tidak ada bedanya dengan plasebo.;Penyebab
Pasien dengan fase 2 dan 4 akan diberikan terapi antivirus. ;Tindakan
Yang diperlukan pada pasien carriertanpa gejala adalah follow-up atau kunjungan ke dokter secara reguler untuk memastikan fase yang terjadi dan perlu tidaknya terapi. ;Tindakan
Beberapa hal yang dapat dilakukan adalah:;Referensi
Namun, pada kebanyakan orang dewasa yang terinfeksi virus hepatitis B akut, tubuh akan menghilangkan virus ini dengan sendirinya dalam waktu 6 bulan dan akan meningkatkan daya tahan tubuhnya sendiri untuk melawan virus ini pada orang dewasa. ;Informasi
Namun, pada kebanyakan orang dewasa yang terinfeksi virus hepatitis B akut, tubuh akan menghilangkan virus ini dengan sendirinya dalam waktu 6 bulan dan akan meningkatkan daya tahan tubuhnya sendiri untuk melawan virus ini pada orang dewasa. ;Periode
Setelah mereka sembuh, mereka tidak dapat terinfeksi oleh virus hepatitis B lagi (sudah memiliki kekebalan terhadap hepatitis B;Penyebab
Setelah mereka sembuh, mereka tidak dapat terinfeksi oleh virus hepatitis B lagi (sudah memiliki kekebalan terhadap hepatitis B;Outcome
Namun, tetap berisiko terkena hepatitis jenis lain. Untuk mengetahui hal ini, diperlukan pemeriksaan lanjutan untuk mengetahui apakah penderita telah sembuh dari hepatitis B akut atau berlanjut menjadi hepatitis B kronik.;Tindakan
Demikian informasi yang dapat disampaikan. Semoga bermanfaat.;Penutup
halo dok, saya mau tanya hari ini 19 februari 2019 saya melukan tes darah dan menunjukan hasil positif HBsAg re-aktif, tetapi saya ingin melakukan tes ulang. pertanyaannya kapan sebaiknya tes ulang tersebut dilakukan? terimakasih dok;Pasien
halo dok, saya mau tanya hari ini 19 februari 2019 saya melukan tes darah dan menunjukan hasil positif HBsAg re-aktif, tetapi saya ingin melakukan tes ulang. pertanyaannya kapan sebaiknya tes ulang tersebut dilakukan? terimakasih dok;Kapan
halo dok, saya mau tanya hari ini 19 februari 2019 saya melukan tes darah dan menunjukan hasil positif HBsAg re-aktif, tetapi saya ingin melakukan tes ulang. pertanyaannya kapan sebaiknya tes ulang tersebut dilakukan? terimakasih dok;Pertanyaan
Terima kasih telah menggunakan layanan e-konsultasi KlikDokter.;Pembuka
Kami mengerti kekhawatiran yang Anda rasakan saat ini. ;Pembuka
Jika HbsAg dinyatakan reaktif, maka saat ini Anda sedang terinfeksi oleh hepatitis B. ;Penyakit
Jika HbsAg dinyatakan reaktif, maka saat ini Anda sedang terinfeksi oleh hepatitis B. ;Penyebab
Namun untuk mengetahui virus sedang aktif atau tidak ada beberapa pemeriksaan lain seperti HbeAg ataupun HBV DNA serta pemeriksaan enzim hati seperti SGOT dan SGPT.;Tindakan
Untuk mengetahui status penyakit hepatitis B pada Anda maka sebaiknya Anda memeriksakan diri ke dokter spesialis penyakit dalam untuk evaluasi dan penanganan lebih lanjut. ;Tindakan
Sekilas izinkan kami menjelaskan mengenai penyakit Hepatitis B.;Referensi
Hepatitis (radang pada hati) B adalah penyakit yang disebabkan oleh virus hepatitis B (VHB), yang dapat menyebabkan peradangan hati akut atau menahun yang pada sebagian kecil kasus dapat berlanjut menjadi sirosi hati atau kanker hati. ;Penyakit
Hepatitis (radang pada hati) B adalah penyakit yang disebabkan oleh virus hepatitis B (VHB), yang dapat menyebabkan peradangan hati akut atau menahun yang pada sebagian kecil kasus dapat berlanjut menjadi sirosi hati atau kanker hati. ;Penyebab
"Virus hepatitis B menular melalui darah dan cairan tubuh yang terinfeksi, hal ini dapat terjadi pada keadaan; Kontak langsung darah dengan darah Hubungan seksual yang tidak aman Penggunaan jarum suntik tidak steril Tertusuk jarum suntik yang terinfeksiJarum yang terkontaminasi yang digunakan untuk membuat tatto, akupuntur, body piercing Pada saat kehamilan, penularan dari ibu-janin pada proses melahirkan Penggunaan pisau cukur Bersama Tranfusi darah";Objek
"Virus hepatitis B menular melalui darah dan cairan tubuh yang terinfeksi, hal ini dapat terjadi pada keadaan; Kontak langsung darah dengan darah Hubungan seksual yang tidak aman Penggunaan jarum suntik tidak steril Tertusuk jarum suntik yang terinfeksiJarum yang terkontaminasi yang digunakan untuk membuat tatto, akupuntur, body piercing Pada saat kehamilan, penularan dari ibu-janin pada proses melahirkan Penggunaan pisau cukur Bersama Tranfusi darah";Penyebab
Kebanyakan hepatitis B carriers tidak merasa ataupun terlihat sakit, tetapi mereka dapat mentransmisikan virus tersebut dan membuat orang lain menderita hepatitis B;Penyakit
Bagaimanapun, carriers memiliki risiko lebih tinggi untuk menderita kerusakan hati yang progresif akibat reaktivasi spontan hepatitis B berulang, sehingga memerlukan pengawasan dokter secara rutin.;Penyebab
Bagaimanapun, carriers memiliki risiko lebih tinggi untuk menderita kerusakan hati yang progresif akibat reaktivasi spontan hepatitis B berulang, sehingga memerlukan pengawasan dokter secara rutin.;Outcome
Pada 5-10% orang dewasa yang terinfeksi hepatitis B akan 'membawa' atau menyimpan virus tersebut selama hidupnya, yang kemudian disebut hepatitis Bcarriers. Hepatitis B memiliki 4 fase untuk menjadi Hepatitis B kronik yaitu: Fase toleransi imunitas (immune tolerance phase) Fase pembersihan imunitas (immune clearance phase)Fase kontrol imunitas (immune control phase)Fase penurunan imunitas (immune escape phase)Selama fase satu dan tiga, umumnya pasien tidak memiliki keluhan dan disebut dengan 'inactive carriers'. ;Informasi
Pada 5-10% orang dewasa yang terinfeksi hepatitis B akan 'membawa' atau menyimpan virus tersebut selama hidupnya, yang kemudian disebut hepatitis Bcarriers. Hepatitis B memiliki 4 fase untuk menjadi Hepatitis B kronik yaitu: Fase toleransi imunitas (immune tolerance phase) Fase pembersihan imunitas (immune clearance phase)Fase kontrol imunitas (immune control phase)Fase penurunan imunitas (immune escape phase)Selama fase satu dan tiga, umumnya pasien tidak memiliki keluhan dan disebut dengan 'inactive carriers'. ;Penyakit
Bagaimanapun juga, orang tersebut umumnya tidak dapat bertahan selamanya di dalam fase ini, mereka akan berpindah fase dan selalu memiliki risiko untuk terjadinya kerusakan hati progresif dan pembentukan sirosis hati (pengecilan hati).;Penyakit
Pasien pada fase 1 dan 3 umumnya tidak diberikan terapi karena berdasarkan penelitian, pemberian antivirus tidak ada bedanya dengan plasebo.;Tindakan
Pasien pada fase 1 dan 3 umumnya tidak diberikan terapi karena berdasarkan penelitian, pemberian antivirus tidak ada bedanya dengan plasebo.;Penyebab
Pasien dengan fase 2 dan 4 akan diberikan terapi antivirus. ;Tindakan
Yang diperlukan pada pasien carriertanpa gejala adalah follow-up atau kunjungan ke dokter secara reguler untuk memastikan fase yang terjadi dan perlu tidaknya terapi. ;Tindakan
Beberapa hal yang dapat dilakukan adalah:;Referensi
Namun, pada kebanyakan orang dewasa yang terinfeksi virus hepatitis B akut, tubuh akan menghilangkan virus ini dengan sendirinya dalam waktu 6 bulan dan akan meningkatkan daya tahan tubuhnya sendiri untuk melawan virus ini pada orang dewasa. ;Informasi
Namun, pada kebanyakan orang dewasa yang terinfeksi virus hepatitis B akut, tubuh akan menghilangkan virus ini dengan sendirinya dalam waktu 6 bulan dan akan meningkatkan daya tahan tubuhnya sendiri untuk melawan virus ini pada orang dewasa. ;Periode
Setelah mereka sembuh, mereka tidak dapat terinfeksi oleh virus hepatitis B lagi (sudah memiliki kekebalan terhadap hepatitis B;Penyebab
Setelah mereka sembuh, mereka tidak dapat terinfeksi oleh virus hepatitis B lagi (sudah memiliki kekebalan terhadap hepatitis B;Outcome
Namun, tetap berisiko terkena hepatitis jenis lain. Untuk mengetahui hal ini, diperlukan pemeriksaan lanjutan untuk mengetahui apakah penderita telah sembuh dari hepatitis B akut atau berlanjut menjadi hepatitis B kronik.;Tindakan
Demikian informasi yang dapat disampaikan. Semoga bermanfaat.;Penutup
Selamat sore dok.saya mau tanya , Saya lagi hamil 7 bln dan diagnosa dokter dalam terkenan hepatitis sejak saya hamil 3bln.udh di cek lab 3x hbshg negative trs. ;Pasien
Selamat sore dok.saya mau tanya , Saya lagi hamil 7 bln dan diagnosa dokter dalam terkenan hepatitis sejak saya hamil 3bln.udh di cek lab 3x hbshg negative trs. ;Penyakit
Dokter tdk menjelaskan hepatitis apa yg saya alami saat ini Dan hasil lab pertama *Hbsag negative *sgot NILAI 290 U/L MIN 13 MAX 19 *SGPT NILAI 550 U/L MIN 18 MAX 22 #hasil lab kedua di pegang dokter dok. #lab ke -3 *SGOT 325 U/L min 13 max 19 *sgpt 318 U/L min 18 max 22. Pertanyaan dari saya itu hepatitis apa dok ? Bisakah untuk sembuh ? Kalau bisa apakah nyampai bertahun-tahun ?,makanan apa yg harus saya hindari ,dan apa saja yg harus saya konsumsi untuk kesembuhan penyakit saya dok.Terimakasih;Pasien
Dokter tdk menjelaskan hepatitis apa yg saya alami saat ini Dan hasil lab pertama *Hbsag negative *sgot NILAI 290 U/L MIN 13 MAX 19 *SGPT NILAI 550 U/L MIN 18 MAX 22 #hasil lab kedua di pegang dokter dok. #lab ke -3 *SGOT 325 U/L min 13 max 19 *sgpt 318 U/L min 18 max 22. Pertanyaan dari saya itu hepatitis apa dok ? Bisakah untuk sembuh ? Kalau bisa apakah nyampai bertahun-tahun ?,makanan apa yg harus saya hindari ,dan apa saja yg harus saya konsumsi untuk kesembuhan penyakit saya dok.Terimakasih;Penyakit
Dokter tdk menjelaskan hepatitis apa yg saya alami saat ini Dan hasil lab pertama *Hbsag negative *sgot NILAI 290 U/L MIN 13 MAX 19 *SGPT NILAI 550 U/L MIN 18 MAX 22 #hasil lab kedua di pegang dokter dok. #lab ke -3 *SGOT 325 U/L min 13 max 19 *sgpt 318 U/L min 18 max 22. Pertanyaan dari saya itu hepatitis apa dok ? Bisakah untuk sembuh ? Kalau bisa apakah nyampai bertahun-tahun ?,makanan apa yg harus saya hindari ,dan apa saja yg harus saya konsumsi untuk kesembuhan penyakit saya dok.Terimakasih;Pertanyaan
Dokter tdk menjelaskan hepatitis apa yg saya alami saat ini Dan hasil lab pertama *Hbsag negative *sgot NILAI 290 U/L MIN 13 MAX 19 *SGPT NILAI 550 U/L MIN 18 MAX 22 #hasil lab kedua di pegang dokter dok. #lab ke -3 *SGOT 325 U/L min 13 max 19 *sgpt 318 U/L min 18 max 22. Pertanyaan dari saya itu hepatitis apa dok ? Bisakah untuk sembuh ? Kalau bisa apakah nyampai bertahun-tahun ?,makanan apa yg harus saya hindari ,dan apa saja yg harus saya konsumsi untuk kesembuhan penyakit saya dok.Terimakasih;Informasi
Terima kasih telah bertanya melalui fitur Tanya Dokter di KlikDokter. ;Pembuka
Kami memahami kekhawatiran Anda.  ;Pembuka
Hepatitis merupakan penyakit infeksi pada hati/liver yang disebabkan oleh virus hepatitis;Penyebab
Hepatitis merupakan penyakit infeksi pada hati/liver yang disebabkan oleh virus hepatitis;Penyakit
Virus hepatitis sendiri sangat bayak jenisnya.;Objek
Di antaranya yang paling sering ditemukan adalah hepatitis A, B, C,dan E.;Penyakit
Virus Hepatitis A dan E ditularkan melalui makanan dan minuman yang tercemar oleh virus tersebut dan melalui tinja penderita.;Penyebab
Virus Hepatitis A dan E ditularkan melalui makanan dan minuman yang tercemar oleh virus tersebut dan melalui tinja penderita.;Objek
 Penderita hepatitis A atau E yang memasak atau menyiapkan makanan juga dapat menularkan virus kepada orang lain. ;Penyebab
Penularannya mirip seperti penularan penyakit demam tifoid yang sering disebut dengan tifus/tipes.;Penyakit
Sedangkan virus Hepatitis B dan C tidak ditularkan melalui makanan, minuman, atau tinja penderita, melainkan melalui cairan tubuh seperti darah, cairan sperma/mani, cairan vagina, dan air liur. ;Penyebab
Sedangkan virus Hepatitis B dan C tidak ditularkan melalui makanan, minuman, atau tinja penderita, melainkan melalui cairan tubuh seperti darah, cairan sperma/mani, cairan vagina, dan air liur. ;Objek
Paling sering kedua virus ini ditularkan melalui hubungan seksual dan penggunaan narkoba suntik (karena menggunakan jarum suntik berganti-gantian).;Penyebab
Gejala hepatitis pada umumnya adalah: Perut begah Mata kuning Mual/muntah badan lemas/cepat Lelah nyeri di daerah ulu hati Perubahan pada buang air besar (BAB) atau buang air kecil (BAK);Gejala
Jenis pengobatan yang akan dilakukan tergantung kepada jenis gangguan hati yang diderita. ;Objek
Salah satu cara untuk melihat fungsi hati adalah dengan pemeriksaan SGOT dan SGPT;Tindakan
SGPT dan SGOT merupakan enzim-enzim pada hati yang akan meningkat jumlahnya di dalam tubuh jika hati mengalami kerusakan;Objek
Liver atau hati adalah organ tubuh yang penting untuk menetralisir racun dari makanan atau minuman. ;Objek
Oleh karena itu, pada gangguan fungsi hati, hindarilah makanan yang tidak alami atau banyak mengandung bahan pengawet atau pewarna dan perbanyak asupan nutrisi yang bergizi dan seimbang.;Tindakan
 Hindari juga konsumsi obat selain dari dokter, seperti jamu-jamuan, obat herbal, obat warung, dan lain-lain.;Tindakan
Demikianlah jawaban yang dapat kami berikan. Semoga bermanfaat. Salam sehat.;Penutup
Sore dok.. saya dian nisa, saya mengidap hepatitis B. awal mula diketahui hepatitis B itu, saat saya melakukan donor darah untuk pertama kalinya pada bulan mei 2018. lalu saya di usg hati, fibroscan bulan agustus dan hasilnya semua masih baik, normal. hanya saja hasil hbsag tetap positif. bahkan hingga bulan november kemarin saya cek hbsag tetap positif, sgot sgpt berubah sedikit. saya hanya disarankan mengonsumsi curcuma fct 3xSehari. yang saya ingin tanyakan apakah saya mengidap hepatitis akut atau sudah masuk ke hepatitis kronik ? hingga sekarang tidak ada tanda2 mata/kulit menguning. tetapi rasa pusing, mual, lemas setiap saya merasa capek itu ada hingga sekarang. bahkan berat badan saya pun tidak ada kenaikan selama beberapa bulan.;Pasien
Sore dok.. saya dian nisa, saya mengidap hepatitis B. awal mula diketahui hepatitis B itu, saat saya melakukan donor darah untuk pertama kalinya pada bulan mei 2018. lalu saya di usg hati, fibroscan bulan agustus dan hasilnya semua masih baik, normal. hanya saja hasil hbsag tetap positif. bahkan hingga bulan november kemarin saya cek hbsag tetap positif, sgot sgpt berubah sedikit. saya hanya disarankan mengonsumsi curcuma fct 3xSehari. yang saya ingin tanyakan apakah saya mengidap hepatitis akut atau sudah masuk ke hepatitis kronik ? hingga sekarang tidak ada tanda2 mata/kulit menguning. tetapi rasa pusing, mual, lemas setiap saya merasa capek itu ada hingga sekarang. bahkan berat badan saya pun tidak ada kenaikan selama beberapa bulan.;Penyakit
Sore dok.. saya dian nisa, saya mengidap hepatitis B. awal mula diketahui hepatitis B itu, saat saya melakukan donor darah untuk pertama kalinya pada bulan mei 2018. lalu saya di usg hati, fibroscan bulan agustus dan hasilnya semua masih baik, normal. hanya saja hasil hbsag tetap positif. bahkan hingga bulan november kemarin saya cek hbsag tetap positif, sgot sgpt berubah sedikit. saya hanya disarankan mengonsumsi curcuma fct 3xSehari. yang saya ingin tanyakan apakah saya mengidap hepatitis akut atau sudah masuk ke hepatitis kronik ? hingga sekarang tidak ada tanda2 mata/kulit menguning. tetapi rasa pusing, mual, lemas setiap saya merasa capek itu ada hingga sekarang. bahkan berat badan saya pun tidak ada kenaikan selama beberapa bulan.;Gejala
